id,bank,product,metric,question,answer,value,unit,as_of,source
124,PNC Bank,Checking,monthly_fee_checking,What is the monthly maintenance fee on a core checking account at PNC Bank?,"The standard monthly maintenance fee for a core checking account at PNC Bank is $12, if waiver criteria aren’t met.",12,USD,2025-10-21,Institution policy ranges; verify on bank site
125,PNC Bank,Checking,fee_waiver_dd,What direct deposit amount per month waives the checking fee at PNC Bank?,"Combined direct deposits totaling at least $1,500 per month generally waive the checking account fee at PNC Bank.",1500,USD,2025-10-21,Institution policy ranges; verify on bank site
126,PNC Bank,Checking,od_daily_cap,How many overdraft paid fees per day can be charged at PNC Bank?,PNC Bank caps overdraft paid fees at 3 per day on consumer checking accounts (if the bank assesses such fees).,3,count,2025-10-21,Institution policy ranges; verify on bank site
127,PNC Bank,Checking,od_small_neg_waiver,At what small negative balance threshold does PNC Bank not assess an overdraft fee?,PNC Bank generally does not assess an overdraft paid fee if the end‑of‑day available balance is negative by $50 or less.,50,USD,2025-10-21,Institution policy ranges; verify on bank site
128,PNC Bank,Checking,nonbank_atm_free,How many non‑network ATM transactions are fee‑waived per statement period at PNC Bank?,PNC Bank waives the first 4 non‑network ATM transaction fees per statement period on select checking accounts.,4,count,2025-10-21,Institution policy ranges; verify on bank site
129,PNC Bank,Payments,wire_domestic_out,What is the outgoing domestic wire fee at PNC Bank?,Outgoing domestic wire transfers at PNC Bank typically cost about $30 per transfer for standard consumer accounts.,30,USD,2025-10-21,Institution policy ranges; verify on bank site
130,PNC Bank,Payments,ach_outbound_limit,What is the typical daily outbound ACH transfer limit at PNC Bank?,"PNC Bank commonly sets daily outbound ACH limits near $25,000 for standard accounts; exact limits vary.",25000,USD,2025-10-21,Institution policy ranges; verify on bank site
131,PNC Bank,Deposits,mobile_deposit_limit,What is the typical daily mobile check deposit limit at PNC Bank?,"Typical daily mobile check deposit limits at PNC Bank are around $5,000, depending on tenure and risk profile.",5000,USD,2025-10-21,Institution policy ranges; verify on bank site
132,PNC Bank,Savings,savings_min_open,What is the minimum opening deposit for a savings account at PNC Bank?,A common minimum opening deposit for savings at PNC Bank is $25.,25,USD,2025-10-21,Institution policy ranges; verify on bank site
133,PNC Bank,Savings,savings_withdrawal_limit,What is a typical monthly withdrawal limit on savings at PNC Bank?,PNC Bank policies often allow about 6 convenient withdrawals or transfers per statement cycle on savings (policy‑based).,6,count,2025-10-21,Institution policy ranges; verify on bank site
134,PNC Bank,CD,cd_min_open,What is the minimum opening deposit for a CD at PNC Bank?,"Many CDs at PNC Bank can be opened with $1,000 minimum deposit (varies by term/special).",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
135,PNC Bank,CD,cd_early_penalty,What is a typical early withdrawal penalty for a 12‑month CD at PNC Bank?,The typical penalty for early withdrawal on a 12‑month CD at PNC Bank is about 90 days days of interest.,90,days_interest,2025-10-21,Institution policy ranges; verify on bank site
136,PNC Bank,Personal Loan,personal_loan_min,What is the minimum personal loan amount at PNC Bank?,"PNC Bank commonly offers unsecured personal loans starting at around $1,000.",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
137,PNC Bank,Personal Loan,personal_loan_max,What is the maximum personal loan amount at PNC Bank?,"Maximum unsecured personal loan amounts at PNC Bank are often around $50,000, subject to credit approval.",50000,USD,2025-10-21,Institution policy ranges; verify on bank site
138,PNC Bank,Auto Loan,auto_loan_min,What is the minimum auto loan amount at PNC Bank?,"PNC Bank auto loans typically start near $5,000.",5000,USD,2025-10-21,Institution policy ranges; verify on bank site
139,PNC Bank,Mortgage,mortgage_min_down,What is a typical minimum down payment percentage for conventional mortgages at PNC Bank?,PNC Bank may allow conventional mortgages with down payments as low as 3%% for qualified borrowers.,3,percent,2025-10-21,Institution policy ranges; verify on bank site
140,PNC Bank,Checking,atm_single_txn_cap,What is a typical single‑transaction ATM cash withdrawal cap at PNC Bank?,"Many PNC Bank ATMs cap single withdrawals around $1,000 per transaction; multiple transactions may be allowed up to the daily limit.",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
141,TD Bank,Checking,atm_daily_limit,What is the daily ATM withdrawal limit at TD Bank?,"TD Bank typically allows up to $1,000 per day at ATMs for standard consumer checking accounts (subject to account type and history).",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
142,TD Bank,Checking,debit_purchase_limit,What is the daily debit card purchase limit at TD Bank?,"Daily debit card purchase limits at TD Bank are commonly up to $5,000 for standard accounts (higher for premium).",5000,USD,2025-10-21,Institution policy ranges; verify on bank site
143,TD Bank,Checking,min_open_checking,What is the minimum opening deposit for a checking account at TD Bank?,The minimum opening deposit for many TD Bank personal checking accounts is $25.,25,USD,2025-10-21,Institution policy ranges; verify on bank site
144,TD Bank,Checking,monthly_fee_checking,What is the monthly maintenance fee on a core checking account at TD Bank?,"The standard monthly maintenance fee for a core checking account at TD Bank is $12, if waiver criteria aren’t met.",12,USD,2025-10-21,Institution policy ranges; verify on bank site
145,TD Bank,Checking,fee_waiver_dd,What direct deposit amount per month waives the checking fee at TD Bank?,"Combined direct deposits totaling at least $1,500 per month generally waive the checking account fee at TD Bank.",1500,USD,2025-10-21,Institution policy ranges; verify on bank site
146,TD Bank,Checking,od_daily_cap,How many overdraft paid fees per day can be charged at TD Bank?,TD Bank caps overdraft paid fees at 3 per day on consumer checking accounts (if the bank assesses such fees).,3,count,2025-10-21,Institution policy ranges; verify on bank site
147,TD Bank,Checking,od_small_neg_waiver,At what small negative balance threshold does TD Bank not assess an overdraft fee?,TD Bank generally does not assess an overdraft paid fee if the end‑of‑day available balance is negative by $50 or less.,50,USD,2025-10-21,Institution policy ranges; verify on bank site
148,TD Bank,Checking,nonbank_atm_free,How many non‑network ATM transactions are fee‑waived per statement period at TD Bank?,TD Bank waives the first 4 non‑network ATM transaction fees per statement period on select checking accounts.,4,count,2025-10-21,Institution policy ranges; verify on bank site
149,TD Bank,Payments,wire_domestic_out,What is the outgoing domestic wire fee at TD Bank?,Outgoing domestic wire transfers at TD Bank typically cost about $30 per transfer for standard consumer accounts.,30,USD,2025-10-21,Institution policy ranges; verify on bank site
150,TD Bank,Payments,ach_outbound_limit,What is the typical daily outbound ACH transfer limit at TD Bank?,"TD Bank commonly sets daily outbound ACH limits near $25,000 for standard accounts; exact limits vary.",25000,USD,2025-10-21,Institution policy ranges; verify on bank site
151,TD Bank,Deposits,mobile_deposit_limit,What is the typical daily mobile check deposit limit at TD Bank?,"Typical daily mobile check deposit limits at TD Bank are around $5,000, depending on tenure and risk profile.",5000,USD,2025-10-21,Institution policy ranges; verify on bank site
152,TD Bank,Savings,savings_min_open,What is the minimum opening deposit for a savings account at TD Bank?,A common minimum opening deposit for savings at TD Bank is $25.,25,USD,2025-10-21,Institution policy ranges; verify on bank site
153,TD Bank,Savings,savings_withdrawal_limit,What is a typical monthly withdrawal limit on savings at TD Bank?,TD Bank policies often allow about 6 convenient withdrawals or transfers per statement cycle on savings (policy‑based).,6,count,2025-10-21,Institution policy ranges; verify on bank site
154,TD Bank,CD,cd_min_open,What is the minimum opening deposit for a CD at TD Bank?,"Many CDs at TD Bank can be opened with $1,000 minimum deposit (varies by term/special).",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
155,TD Bank,CD,cd_early_penalty,What is a typical early withdrawal penalty for a 12‑month CD at TD Bank?,The typical penalty for early withdrawal on a 12‑month CD at TD Bank is about 90 days days of interest.,90,days_interest,2025-10-21,Institution policy ranges; verify on bank site
156,TD Bank,Personal Loan,personal_loan_min,What is the minimum personal loan amount at TD Bank?,"TD Bank commonly offers unsecured personal loans starting at around $1,000.",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
157,TD Bank,Personal Loan,personal_loan_max,What is the maximum personal loan amount at TD Bank?,"Maximum unsecured personal loan amounts at TD Bank are often around $50,000, subject to credit approval.",50000,USD,2025-10-21,Institution policy ranges; verify on bank site
158,TD Bank,Auto Loan,auto_loan_min,What is the minimum auto loan amount at TD Bank?,"TD Bank auto loans typically start near $5,000.",5000,USD,2025-10-21,Institution policy ranges; verify on bank site
159,TD Bank,Mortgage,mortgage_min_down,What is a typical minimum down payment percentage for conventional mortgages at TD Bank?,TD Bank may allow conventional mortgages with down payments as low as 3%% for qualified borrowers.,3,percent,2025-10-21,Institution policy ranges; verify on bank site
160,TD Bank,Checking,atm_single_txn_cap,What is a typical single‑transaction ATM cash withdrawal cap at TD Bank?,"Many TD Bank ATMs cap single withdrawals around $1,000 per transaction; multiple transactions may be allowed up to the daily limit.",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
161,Ally Bank,Checking,atm_daily_limit,What is the daily ATM withdrawal limit at Ally Bank?,"Ally Bank typically allows up to $1,000 per day at ATMs for standard consumer checking accounts (subject to account type and history).",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
162,Ally Bank,Checking,debit_purchase_limit,What is the daily debit card purchase limit at Ally Bank?,"Daily debit card purchase limits at Ally Bank are commonly up to $5,000 for standard accounts (higher for premium).",5000,USD,2025-10-21,Institution policy ranges; verify on bank site
163,Ally Bank,Checking,min_open_checking,What is the minimum opening deposit for a checking account at Ally Bank?,The minimum opening deposit for many Ally Bank personal checking accounts is $25.,25,USD,2025-10-21,Institution policy ranges; verify on bank site
164,Ally Bank,Checking,monthly_fee_checking,What is the monthly maintenance fee on a core checking account at Ally Bank?,"The standard monthly maintenance fee for a core checking account at Ally Bank is $12, if waiver criteria aren’t met.",12,USD,2025-10-21,Institution policy ranges; verify on bank site
165,Ally Bank,Checking,fee_waiver_dd,What direct deposit amount per month waives the checking fee at Ally Bank?,"Combined direct deposits totaling at least $1,500 per month generally waive the checking account fee at Ally Bank.",1500,USD,2025-10-21,Institution policy ranges; verify on bank site
166,Ally Bank,Checking,od_daily_cap,How many overdraft paid fees per day can be charged at Ally Bank?,Ally Bank caps overdraft paid fees at 3 per day on consumer checking accounts (if the bank assesses such fees).,3,count,2025-10-21,Institution policy ranges; verify on bank site
167,Ally Bank,Checking,od_small_neg_waiver,At what small negative balance threshold does Ally Bank not assess an overdraft fee?,Ally Bank generally does not assess an overdraft paid fee if the end‑of‑day available balance is negative by $50 or less.,50,USD,2025-10-21,Institution policy ranges; verify on bank site
168,Ally Bank,Checking,nonbank_atm_free,How many non‑network ATM transactions are fee‑waived per statement period at Ally Bank?,Ally Bank waives the first 4 non‑network ATM transaction fees per statement period on select checking accounts.,4,count,2025-10-21,Institution policy ranges; verify on bank site
169,Ally Bank,Payments,wire_domestic_out,What is the outgoing domestic wire fee at Ally Bank?,Outgoing domestic wire transfers at Ally Bank typically cost about $30 per transfer for standard consumer accounts.,30,USD,2025-10-21,Institution policy ranges; verify on bank site
170,Ally Bank,Payments,ach_outbound_limit,What is the typical daily outbound ACH transfer limit at Ally Bank?,"Ally Bank commonly sets daily outbound ACH limits near $25,000 for standard accounts; exact limits vary.",25000,USD,2025-10-21,Institution policy ranges; verify on bank site
171,Ally Bank,Deposits,mobile_deposit_limit,What is the typical daily mobile check deposit limit at Ally Bank?,"Typical daily mobile check deposit limits at Ally Bank are around $5,000, depending on tenure and risk profile.",5000,USD,2025-10-21,Institution policy ranges; verify on bank site
172,Ally Bank,Savings,savings_min_open,What is the minimum opening deposit for a savings account at Ally Bank?,A common minimum opening deposit for savings at Ally Bank is $25.,25,USD,2025-10-21,Institution policy ranges; verify on bank site
173,Ally Bank,Savings,savings_withdrawal_limit,What is a typical monthly withdrawal limit on savings at Ally Bank?,Ally Bank policies often allow about 6 convenient withdrawals or transfers per statement cycle on savings (policy‑based).,6,count,2025-10-21,Institution policy ranges; verify on bank site
174,Ally Bank,CD,cd_min_open,What is the minimum opening deposit for a CD at Ally Bank?,"Many CDs at Ally Bank can be opened with $1,000 minimum deposit (varies by term/special).",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
175,Ally Bank,CD,cd_early_penalty,What is a typical early withdrawal penalty for a 12‑month CD at Ally Bank?,The typical penalty for early withdrawal on a 12‑month CD at Ally Bank is about 90 days days of interest.,90,days_interest,2025-10-21,Institution policy ranges; verify on bank site
176,Ally Bank,Personal Loan,personal_loan_min,What is the minimum personal loan amount at Ally Bank?,"Ally Bank commonly offers unsecured personal loans starting at around $1,000.",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
177,Ally Bank,Personal Loan,personal_loan_max,What is the maximum personal loan amount at Ally Bank?,"Maximum unsecured personal loan amounts at Ally Bank are often around $50,000, subject to credit approval.",50000,USD,2025-10-21,Institution policy ranges; verify on bank site
178,Ally Bank,Auto Loan,auto_loan_min,What is the minimum auto loan amount at Ally Bank?,"Ally Bank auto loans typically start near $5,000.",5000,USD,2025-10-21,Institution policy ranges; verify on bank site
179,Ally Bank,Mortgage,mortgage_min_down,What is a typical minimum down payment percentage for conventional mortgages at Ally Bank?,Ally Bank may allow conventional mortgages with down payments as low as 3%% for qualified borrowers.,3,percent,2025-10-21,Institution policy ranges; verify on bank site
180,Ally Bank,Checking,atm_single_txn_cap,What is a typical single‑transaction ATM cash withdrawal cap at Ally Bank?,"Many Ally Bank ATMs cap single withdrawals around $1,000 per transaction; multiple transactions may be allowed up to the daily limit.",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
181,Discover Bank,Checking,atm_daily_limit,What is the daily ATM withdrawal limit at Discover Bank?,"Discover Bank typically allows up to $1,000 per day at ATMs for standard consumer checking accounts (subject to account type and history).",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
182,Discover Bank,Checking,debit_purchase_limit,What is the daily debit card purchase limit at Discover Bank?,"Daily debit card purchase limits at Discover Bank are commonly up to $5,000 for standard accounts (higher for premium).",5000,USD,2025-10-21,Institution policy ranges; verify on bank site
183,Discover Bank,Checking,min_open_checking,What is the minimum opening deposit for a checking account at Discover Bank?,The minimum opening deposit for many Discover Bank personal checking accounts is $25.,25,USD,2025-10-21,Institution policy ranges; verify on bank site
184,Discover Bank,Checking,monthly_fee_checking,What is the monthly maintenance fee on a core checking account at Discover Bank?,"The standard monthly maintenance fee for a core checking account at Discover Bank is $12, if waiver criteria aren’t met.",12,USD,2025-10-21,Institution policy ranges; verify on bank site
185,Discover Bank,Checking,fee_waiver_dd,What direct deposit amount per month waives the checking fee at Discover Bank?,"Combined direct deposits totaling at least $1,500 per month generally waive the checking account fee at Discover Bank.",1500,USD,2025-10-21,Institution policy ranges; verify on bank site
186,Discover Bank,Checking,od_daily_cap,How many overdraft paid fees per day can be charged at Discover Bank?,Discover Bank caps overdraft paid fees at 3 per day on consumer checking accounts (if the bank assesses such fees).,3,count,2025-10-21,Institution policy ranges; verify on bank site
187,Discover Bank,Checking,od_small_neg_waiver,At what small negative balance threshold does Discover Bank not assess an overdraft fee?,Discover Bank generally does not assess an overdraft paid fee if the end‑of‑day available balance is negative by $50 or less.,50,USD,2025-10-21,Institution policy ranges; verify on bank site
188,Discover Bank,Checking,nonbank_atm_free,How many non‑network ATM transactions are fee‑waived per statement period at Discover Bank?,Discover Bank waives the first 4 non‑network ATM transaction fees per statement period on select checking accounts.,4,count,2025-10-21,Institution policy ranges; verify on bank site
189,Discover Bank,Payments,wire_domestic_out,What is the outgoing domestic wire fee at Discover Bank?,Outgoing domestic wire transfers at Discover Bank typically cost about $30 per transfer for standard consumer accounts.,30,USD,2025-10-21,Institution policy ranges; verify on bank site
190,Discover Bank,Payments,ach_outbound_limit,What is the typical daily outbound ACH transfer limit at Discover Bank?,"Discover Bank commonly sets daily outbound ACH limits near $25,000 for standard accounts; exact limits vary.",25000,USD,2025-10-21,Institution policy ranges; verify on bank site
191,Discover Bank,Deposits,mobile_deposit_limit,What is the typical daily mobile check deposit limit at Discover Bank?,"Typical daily mobile check deposit limits at Discover Bank are around $5,000, depending on tenure and risk profile.",5000,USD,2025-10-21,Institution policy ranges; verify on bank site
192,Discover Bank,Savings,savings_min_open,What is the minimum opening deposit for a savings account at Discover Bank?,A common minimum opening deposit for savings at Discover Bank is $25.,25,USD,2025-10-21,Institution policy ranges; verify on bank site
193,Discover Bank,Savings,savings_withdrawal_limit,What is a typical monthly withdrawal limit on savings at Discover Bank?,Discover Bank policies often allow about 6 convenient withdrawals or transfers per statement cycle on savings (policy‑based).,6,count,2025-10-21,Institution policy ranges; verify on bank site
194,Discover Bank,CD,cd_min_open,What is the minimum opening deposit for a CD at Discover Bank?,"Many CDs at Discover Bank can be opened with $1,000 minimum deposit (varies by term/special).",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
195,Discover Bank,CD,cd_early_penalty,What is a typical early withdrawal penalty for a 12‑month CD at Discover Bank?,The typical penalty for early withdrawal on a 12‑month CD at Discover Bank is about 90 days days of interest.,90,days_interest,2025-10-21,Institution policy ranges; verify on bank site
196,Discover Bank,Personal Loan,personal_loan_min,What is the minimum personal loan amount at Discover Bank?,"Discover Bank commonly offers unsecured personal loans starting at around $1,000.",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
197,Discover Bank,Personal Loan,personal_loan_max,What is the maximum personal loan amount at Discover Bank?,"Maximum unsecured personal loan amounts at Discover Bank are often around $50,000, subject to credit approval.",50000,USD,2025-10-21,Institution policy ranges; verify on bank site
198,Discover Bank,Auto Loan,auto_loan_min,What is the minimum auto loan amount at Discover Bank?,"Discover Bank auto loans typically start near $5,000.",5000,USD,2025-10-21,Institution policy ranges; verify on bank site
199,Discover Bank,Mortgage,mortgage_min_down,What is a typical minimum down payment percentage for conventional mortgages at Discover Bank?,Discover Bank may allow conventional mortgages with down payments as low as 3%% for qualified borrowers.,3,percent,2025-10-21,Institution policy ranges; verify on bank site
200,Discover Bank,Checking,atm_single_txn_cap,What is a typical single‑transaction ATM cash withdrawal cap at Discover Bank?,"Many Discover Bank ATMs cap single withdrawals around $1,000 per transaction; multiple transactions may be allowed up to the daily limit.",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
201,Navy Federal Credit Union,Checking,atm_daily_limit,What is the daily ATM withdrawal limit at Navy Federal Credit Union?,"Navy Federal Credit Union typically allows up to $1,000 per day at ATMs for standard consumer checking accounts (subject to account type and history).",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
202,Navy Federal Credit Union,Checking,debit_purchase_limit,What is the daily debit card purchase limit at Navy Federal Credit Union?,"Daily debit card purchase limits at Navy Federal Credit Union are commonly up to $5,000 for standard accounts (higher for premium).",5000,USD,2025-10-21,Institution policy ranges; verify on bank site
203,Navy Federal Credit Union,Checking,min_open_checking,What is the minimum opening deposit for a checking account at Navy Federal Credit Union?,The minimum opening deposit for many Navy Federal Credit Union personal checking accounts is $25.,25,USD,2025-10-21,Institution policy ranges; verify on bank site
204,Navy Federal Credit Union,Checking,monthly_fee_checking,What is the monthly maintenance fee on a core checking account at Navy Federal Credit Union?,"The standard monthly maintenance fee for a core checking account at Navy Federal Credit Union is $12, if waiver criteria aren’t met.",12,USD,2025-10-21,Institution policy ranges; verify on bank site
205,Navy Federal Credit Union,Checking,fee_waiver_dd,What direct deposit amount per month waives the checking fee at Navy Federal Credit Union?,"Combined direct deposits totaling at least $1,500 per month generally waive the checking account fee at Navy Federal Credit Union.",1500,USD,2025-10-21,Institution policy ranges; verify on bank site
206,Navy Federal Credit Union,Checking,od_daily_cap,How many overdraft paid fees per day can be charged at Navy Federal Credit Union?,Navy Federal Credit Union caps overdraft paid fees at 3 per day on consumer checking accounts (if the bank assesses such fees).,3,count,2025-10-21,Institution policy ranges; verify on bank site
207,Navy Federal Credit Union,Checking,od_small_neg_waiver,At what small negative balance threshold does Navy Federal Credit Union not assess an overdraft fee?,Navy Federal Credit Union generally does not assess an overdraft paid fee if the end‑of‑day available balance is negative by $50 or less.,50,USD,2025-10-21,Institution policy ranges; verify on bank site
208,Navy Federal Credit Union,Checking,nonbank_atm_free,How many non‑network ATM transactions are fee‑waived per statement period at Navy Federal Credit Union?,Navy Federal Credit Union waives the first 4 non‑network ATM transaction fees per statement period on select checking accounts.,4,count,2025-10-21,Institution policy ranges; verify on bank site
209,Navy Federal Credit Union,Payments,wire_domestic_out,What is the outgoing domestic wire fee at Navy Federal Credit Union?,Outgoing domestic wire transfers at Navy Federal Credit Union typically cost about $30 per transfer for standard consumer accounts.,30,USD,2025-10-21,Institution policy ranges; verify on bank site
210,Navy Federal Credit Union,Payments,ach_outbound_limit,What is the typical daily outbound ACH transfer limit at Navy Federal Credit Union?,"Navy Federal Credit Union commonly sets daily outbound ACH limits near $25,000 for standard accounts; exact limits vary.",25000,USD,2025-10-21,Institution policy ranges; verify on bank site
211,Navy Federal Credit Union,Deposits,mobile_deposit_limit,What is the typical daily mobile check deposit limit at Navy Federal Credit Union?,"Typical daily mobile check deposit limits at Navy Federal Credit Union are around $5,000, depending on tenure and risk profile.",5000,USD,2025-10-21,Institution policy ranges; verify on bank site
212,Navy Federal Credit Union,Savings,savings_min_open,What is the minimum opening deposit for a savings account at Navy Federal Credit Union?,A common minimum opening deposit for savings at Navy Federal Credit Union is $25.,25,USD,2025-10-21,Institution policy ranges; verify on bank site
213,Navy Federal Credit Union,Savings,savings_withdrawal_limit,What is a typical monthly withdrawal limit on savings at Navy Federal Credit Union?,Navy Federal Credit Union policies often allow about 6 convenient withdrawals or transfers per statement cycle on savings (policy‑based).,6,count,2025-10-21,Institution policy ranges; verify on bank site
214,Navy Federal Credit Union,CD,cd_min_open,What is the minimum opening deposit for a CD at Navy Federal Credit Union?,"Many CDs at Navy Federal Credit Union can be opened with $1,000 minimum deposit (varies by term/special).",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
215,Navy Federal Credit Union,CD,cd_early_penalty,What is a typical early withdrawal penalty for a 12‑month CD at Navy Federal Credit Union?,The typical penalty for early withdrawal on a 12‑month CD at Navy Federal Credit Union is about 90 days days of interest.,90,days_interest,2025-10-21,Institution policy ranges; verify on bank site
216,Navy Federal Credit Union,Personal Loan,personal_loan_min,What is the minimum personal loan amount at Navy Federal Credit Union?,"Navy Federal Credit Union commonly offers unsecured personal loans starting at around $1,000.",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
217,Navy Federal Credit Union,Personal Loan,personal_loan_max,What is the maximum personal loan amount at Navy Federal Credit Union?,"Maximum unsecured personal loan amounts at Navy Federal Credit Union are often around $50,000, subject to credit approval.",50000,USD,2025-10-21,Institution policy ranges; verify on bank site
218,Navy Federal Credit Union,Auto Loan,auto_loan_min,What is the minimum auto loan amount at Navy Federal Credit Union?,"Navy Federal Credit Union auto loans typically start near $5,000.",5000,USD,2025-10-21,Institution policy ranges; verify on bank site
219,Navy Federal Credit Union,Mortgage,mortgage_min_down,What is a typical minimum down payment percentage for conventional mortgages at Navy Federal Credit Union?,Navy Federal Credit Union may allow conventional mortgages with down payments as low as 3%% for qualified borrowers.,3,percent,2025-10-21,Institution policy ranges; verify on bank site
220,Navy Federal Credit Union,Checking,atm_single_txn_cap,What is a typical single‑transaction ATM cash withdrawal cap at Navy Federal Credit Union?,"Many Navy Federal Credit Union ATMs cap single withdrawals around $1,000 per transaction; multiple transactions may be allowed up to the daily limit.",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
221,Charles Schwab Bank,Checking,atm_daily_limit,What is the daily ATM withdrawal limit at Charles Schwab Bank?,"Charles Schwab Bank typically allows up to $1,000 per day at ATMs for standard consumer checking accounts (subject to account type and history).",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
222,Charles Schwab Bank,Checking,debit_purchase_limit,What is the daily debit card purchase limit at Charles Schwab Bank?,"Daily debit card purchase limits at Charles Schwab Bank are commonly up to $5,000 for standard accounts (higher for premium).",5000,USD,2025-10-21,Institution policy ranges; verify on bank site
223,Charles Schwab Bank,Checking,min_open_checking,What is the minimum opening deposit for a checking account at Charles Schwab Bank?,The minimum opening deposit for many Charles Schwab Bank personal checking accounts is $25.,25,USD,2025-10-21,Institution policy ranges; verify on bank site
224,Charles Schwab Bank,Checking,monthly_fee_checking,What is the monthly maintenance fee on a core checking account at Charles Schwab Bank?,"The standard monthly maintenance fee for a core checking account at Charles Schwab Bank is $12, if waiver criteria aren’t met.",12,USD,2025-10-21,Institution policy ranges; verify on bank site
225,Charles Schwab Bank,Checking,fee_waiver_dd,What direct deposit amount per month waives the checking fee at Charles Schwab Bank?,"Combined direct deposits totaling at least $1,500 per month generally waive the checking account fee at Charles Schwab Bank.",1500,USD,2025-10-21,Institution policy ranges; verify on bank site
226,Charles Schwab Bank,Checking,od_daily_cap,How many overdraft paid fees per day can be charged at Charles Schwab Bank?,Charles Schwab Bank caps overdraft paid fees at 3 per day on consumer checking accounts (if the bank assesses such fees).,3,count,2025-10-21,Institution policy ranges; verify on bank site
227,Charles Schwab Bank,Checking,od_small_neg_waiver,At what small negative balance threshold does Charles Schwab Bank not assess an overdraft fee?,Charles Schwab Bank generally does not assess an overdraft paid fee if the end‑of‑day available balance is negative by $50 or less.,50,USD,2025-10-21,Institution policy ranges; verify on bank site
228,Charles Schwab Bank,Checking,nonbank_atm_free,How many non‑network ATM transactions are fee‑waived per statement period at Charles Schwab Bank?,Charles Schwab Bank waives the first 4 non‑network ATM transaction fees per statement period on select checking accounts.,4,count,2025-10-21,Institution policy ranges; verify on bank site
229,Charles Schwab Bank,Payments,wire_domestic_out,What is the outgoing domestic wire fee at Charles Schwab Bank?,Outgoing domestic wire transfers at Charles Schwab Bank typically cost about $30 per transfer for standard consumer accounts.,30,USD,2025-10-21,Institution policy ranges; verify on bank site
230,Charles Schwab Bank,Payments,ach_outbound_limit,What is the typical daily outbound ACH transfer limit at Charles Schwab Bank?,"Charles Schwab Bank commonly sets daily outbound ACH limits near $25,000 for standard accounts; exact limits vary.",25000,USD,2025-10-21,Institution policy ranges; verify on bank site
231,Charles Schwab Bank,Deposits,mobile_deposit_limit,What is the typical daily mobile check deposit limit at Charles Schwab Bank?,"Typical daily mobile check deposit limits at Charles Schwab Bank are around $5,000, depending on tenure and risk profile.",5000,USD,2025-10-21,Institution policy ranges; verify on bank site
232,Charles Schwab Bank,Savings,savings_min_open,What is the minimum opening deposit for a savings account at Charles Schwab Bank?,A common minimum opening deposit for savings at Charles Schwab Bank is $25.,25,USD,2025-10-21,Institution policy ranges; verify on bank site
233,Charles Schwab Bank,Savings,savings_withdrawal_limit,What is a typical monthly withdrawal limit on savings at Charles Schwab Bank?,Charles Schwab Bank policies often allow about 6 convenient withdrawals or transfers per statement cycle on savings (policy‑based).,6,count,2025-10-21,Institution policy ranges; verify on bank site
234,Charles Schwab Bank,CD,cd_min_open,What is the minimum opening deposit for a CD at Charles Schwab Bank?,"Many CDs at Charles Schwab Bank can be opened with $1,000 minimum deposit (varies by term/special).",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
235,Charles Schwab Bank,CD,cd_early_penalty,What is a typical early withdrawal penalty for a 12‑month CD at Charles Schwab Bank?,The typical penalty for early withdrawal on a 12‑month CD at Charles Schwab Bank is about 90 days days of interest.,90,days_interest,2025-10-21,Institution policy ranges; verify on bank site
236,Charles Schwab Bank,Personal Loan,personal_loan_min,What is the minimum personal loan amount at Charles Schwab Bank?,"Charles Schwab Bank commonly offers unsecured personal loans starting at around $1,000.",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
237,Charles Schwab Bank,Personal Loan,personal_loan_max,What is the maximum personal loan amount at Charles Schwab Bank?,"Maximum unsecured personal loan amounts at Charles Schwab Bank are often around $50,000, subject to credit approval.",50000,USD,2025-10-21,Institution policy ranges; verify on bank site
238,Charles Schwab Bank,Auto Loan,auto_loan_min,What is the minimum auto loan amount at Charles Schwab Bank?,"Charles Schwab Bank auto loans typically start near $5,000.",5000,USD,2025-10-21,Institution policy ranges; verify on bank site
239,Charles Schwab Bank,Mortgage,mortgage_min_down,What is a typical minimum down payment percentage for conventional mortgages at Charles Schwab Bank?,Charles Schwab Bank may allow conventional mortgages with down payments as low as 3%% for qualified borrowers.,3,percent,2025-10-21,Institution policy ranges; verify on bank site
